Name,Protopine,Testosterone,Glycycoumarin,Spermine,Guanosine,Hirsutrin,Isorhamnetin,Vitamin A,Licuroside,Myoinositol,Lycopene,Pregnenolone,Octadecanoic acid,Quinic acid,Naringin,Methyl rosmarinate,Malic acid,Loganin,Uracil,Quercetin,Kaempferol 3-glucuronide,Isoferulic acid,Tanshinone II,Acetylursolic acid,Riboflavin,Apigenin,Myricetin,alpha-Tocopherol,Sigmoidin B,Glycyrrhetinic acid,Ellagic acid,Coumarin,Sanguinarine,Ferruginol,Oleic acid,Glisoflavone,Liquiritin,(+)-S-Carvone,(-)-Jasmonic acid,Glycyrol,Tetrahydroalstonine,Isoschaftoside,Chelerythrine,Citric acid,Chrysoeriol,Isobavachalcone,3-O-Caffeoylquinic acid,Berberine,Trigonelline,Rutin,7-Hydroxycoumarin,Isoliquiritigenin,1 3 7-Trihydroxyxanthone,Echinatin,Oestrone,Peucedanin,Folic acid,alpha-Terpinene,Linoleic acid,N6-(delta2-Isopentenyl)adenine,Vindoline,Oleanolic acid,6-Hydroxymellein,Betulinic acid,3' 4' 7-Trihydroxyflavone,Liquiritigenin,Punicalin,Isolicoflavonol,Gallic acid,Sucrose,Caffeic acid,Benzoic acid,Spermidine,(R)-linalool,Tryptamine,Isoliquiritin,Semilicoisoflavone B,Naringenin,p-Coumaric acid,Tanshinone I,Sweroside,3 4-Dihydroxybenzoic acid,delta-Tocopherol,Adenosine,(6S 9R)-Roseoside,beta-D-Glucosamine,Methyl 3 4 5-trihydroxybenzoate,Acetovanillone,6 8-Diprenylgenistein,Myristicin,Glycyrrhizic acid,Fumaric acid,Succinic acid,Miltirone,Gancaonin U,4-Terpineol,Oxalic acid,Thiamine,Dihydrotanshinone I,Labiatenic acid,Fisetin,Scopoletin,Isorhamnetin 3-O-beta-D-glucopyranoside,Serotonin,beta-Carotene,Phaseollidin,Cryptotanshinone,Mitraphylline,Ajmalicine,3' 5'-cyclic AMP,Glycyrrhisoflavone,Cholesterol,alpha-Pinene,Gibberellin A3,Vincristine,9-Ribosyl-trans-zeatin,Vanillic acid,Isoprene,Vincamine,Salicylic acid,Vanillin,Formononetin,beta-Monoolein,Indole-3-acetic acid,trans-Zeatin,2'-Hydroxygenistein,Kaempferol,Coumestrol,L-Phenylalanine,Isoglycyrol,Loganic acid,Palmitic acid
Protopine,1,0.159090906,0.404255331,0.176470593,0.175757572,0.391666681,0.427184463,0.109756097,0.439999998,0.09589041,0.064935066,0.164705887,0.154929578,0.144578308,0.494623661,0.357894748,0.155844152,0.154545456,0.157303378,0.41747573,0.370967746,0.402597398,0.360000014,0.161290318,0.253623188,0.425531924,0.41747573,0.474358976,0.505617976,0.166666672,0.452380955,0.385542154,0.34523809,0.438356161,0.159999996,0.483516484,0.494623661,0.064102568,0.177215189,0.352941185,0.328358203,0.386792451,0.34523809,0.144578308,0.46808511,0.419753075,0.297029704,0.445544541,0.282352954,0.391666681,0.380952388,0.430379748,0.460674167,0.519480526,0.439999998,0.327272713,0.256944448,0.0625,0.157894731,0.157407403,0.382113814,0.149425283,0.476190478,0.141176477,0.457446814,0.506024122,0.430000007,0.380952388,0.394366205,0.141176477,0.337662339,0.285714298,0.176470593,0.097560972,0.280487806,0.463157892,0.489795923,0.506024122,0.298701286,0.371134013,0.154545456,0.400000006,0.448717952,0.183206111,0.182692304,0.179775283,0.386666656,0.560606062,0.450549453,0.514285743,0.200000003,0.121621624,0.157142863,0.373626381,0.412499994,0.097560972,0.112676054,0.182481751,0.336363643,0.357894748,0.41747573,0.428571433,0.400000006,0.353658527,0.074074075,0.365591407,0.339449555,0.327868849,0.328358203,0.16438356,0.483516484,0.108433738,0.089743592,0.148514852,0.346405238,0.202797204,0.471428573,0.056338027,0.3125,0.388888896,0.626865685,0.460674167,0.164705887,0.31764707,0.180180177,0.471910119,0.388349503,0.321428567,0.376623362,0.344262302,0.157407403,0.154929578
Testosterone,0.159090906,1,0.243902445,0.111111112,0.115646258,0.201754391,0.193877548,0.524999976,0.280898869,0.315789461,0.333333343,0.864864886,0.333333343,0.413043469,0.197802201,0.269230783,0.311111122,0.366197169,0.158730164,0.195876285,0.217391297,0.21875,0.218390808,0.625,0.153225809,0.223529413,0.195876285,0.214285716,0.283950627,0.875,0.108433738,0.214285716,0.064102568,0.229508191,0.461538464,0.25,0.197802201,0.472222209,0.574999988,0.169642851,0.233333334,0.244680852,0.064102568,0.382978737,0.21348314,0.287878782,0.328947365,0.084112152,0.128571436,0.201754391,0.211267605,0.25757575,0.234567896,0.242857143,0.344827592,0.171717167,0.135338351,0.410256416,0.449999988,0.104651161,0.261261255,0.75,0.160493821,0.675000012,0.215909094,0.233766228,0.153061226,0.223404258,0.131147534,0.196428567,0.237288132,0.15384616,0.111111112,0.538461566,0.071428575,0.25287357,0.260869563,0.233766228,0.25,0.170454547,0.347222209,0.13333334,0.220588237,0.116071425,0.576271176,0.171875,0.121212125,0.140625,0.259259254,0.134328365,0.573770463,0.324999988,0.307692319,0.417910457,0.220588237,0.621621609,0.166666672,0.081967212,0.344827592,0.269230783,0.195876285,0.200000003,0.200000003,0.094594598,0.461538464,0.259740263,0.36470589,0.294117659,0.233333334,0.111111112,0.25,0.722222209,0.486486495,0.535714269,0.197278917,0.136000007,0.123076923,0.184210524,0.152173907,0.129032254,0.179104477,0.234567896,0.379999995,0.154929578,0.147727266,0.23170732,0.202127665,0.102803737,0.225806445,0.175438598,0.376811594,0.333333343
Glycycoumarin,0.404255331,0.243902445,1,0.052631579,0.168674693,0.452173918,0.53125,0.197368428,0.53191489,0.09589041,0.138888896,0.222222224,0.188405797,0.158536583,0.447916657,0.592592597,0.171052635,0.282828271,0.144444451,0.536842108,0.465517253,0.54285717,0.271028042,0.30120483,0.176870748,0.59523809,0.536842108,0.474358976,0.540229857,0.280487806,0.435294122,0.74242425,0.215053767,0.400000006,0.242857143,0.626506031,0.447916657,0.152777776,0.239999995,0.463636369,0.338345855,0.53125,0.215053767,0.158536583,0.568181813,0.597222209,0.488636374,0.258620679,0.211111113,0.452173918,0.75757575,0.569444418,0.625,0.625,0.367088616,0.569892466,0.198675498,0.148648649,0.239436626,0.126126125,0.338582665,0.25,0.458823532,0.212500006,0.574712634,0.488095224,0.40196079,0.576086938,0.319999993,0.127906978,0.492753625,0.25,0.052631579,0.200000003,0.193181813,0.561797738,0.640449464,0.488095224,0.515151501,0.278846145,0.282828271,0.306666672,0.486842096,0.165413529,0.28125,0.129032254,0.368421048,0.373333335,0.649999976,0.432432443,0.25999999,0.25757575,0.191176474,0.436781615,0.486842096,0.16883117,0.144927531,0.132867128,0.427184463,0.592592597,0.536842108,0.714285731,0.448275864,0.261363626,0.144736841,0.548780501,0.41747573,0.361344546,0.338345855,0.16438356,0.626506031,0.179487184,0.148648649,0.303370774,0.320512831,0.211267605,0.355263144,0.102941178,0.243421048,0.369863003,0.434210539,0.625,0.285714298,0.333333343,0.180180177,0.637499988,0.554347813,0.345454544,0.324999988,0.3898305,0.262626261,0.188405797
Spermine,0.176470593,0.111111112,0.052631579,1,0.083969466,0.045454547,0.055555556,0.14705883,0.057471264,0.166666672,0.15384616,0.119047619,0.15384616,0.102564104,0.060975611,0.05479452,0.121212125,0.056338027,0.186046511,0.056179777,0.044247787,0.056603774,0.07692308,0.098039217,0.130841121,0.064935066,0.056179777,0.06779661,0.064935066,0.104166664,0.044776119,0.06779661,0.05172414,0.081632651,0.129032254,0.064102568,0.060975611,0.192307696,0.108108111,0.058252428,0.115044251,0.055555556,0.05172414,0.102564104,0.061728396,0.086206898,0.053333335,0.080459774,0.117647059,0.045454547,0.06666667,0.089285716,0.06849315,0.083333336,0.07692308,0.044444446,0.112068966,0.137931034,0.125,0.158730164,0.134615391,0.116279073,0.074626863,0.097560972,0.0625,0.073529415,0.058139537,0.056818184,0.06818182,0.097560972,0.0625,0.085714288,1,0.117647059,0.177777782,0.060975611,0.056179777,0.073529415,0.06666667,0.079999998,0.056338027,0.069767445,0.070175439,0.095744684,0.075757578,0.204545453,0.06122449,0.08510638,0.06666667,0.079999998,0.072463766,0.107142858,0.159999996,0.073529415,0.070175439,0.151515156,0.079999998,0.067961164,0.055555556,0.05479452,0.056179777,0.0625,0.045045044,0.156862751,0.166666672,0.056338027,0.056179777,0.145833328,0.115044251,0.082568809,0.064102568,0.142857149,0.178571433,0.084745765,0.100000001,0.100917429,0.0625,0.210526317,0.104838707,0.06666667,0.096153848,0.06849315,0.093023255,0.090909094,0.144927531,0.067567565,0.058139537,0.043478262,0.173913047,0.056603774,0.057971016,0.15384616
Guanosine,0.175757572,0.115646258,0.168674693,0.083969466,1,0.231182799,0.167597771,0.08510638,0.24848485,0.100775197,0.06666667,0.110344827,0.082706764,0.105633803,0.22560975,0.193749994,0.102189779,0.159509197,0.122448981,0.16853933,0.227513224,0.13333334,0.13142857,0.13333334,0.284153014,0.166666672,0.16853933,0.164473683,0.187878788,0.113333337,0.135802463,0.156862751,0.158940405,0.113333337,0.087591238,0.165680468,0.22560975,0.050724637,0.091549292,0.192513362,0.290322572,0.222222224,0.158940405,0.105633803,0.162790701,0.149350643,0.19135803,0.26060605,0.1875,0.231182799,0.155844152,0.151315793,0.163636357,0.154838711,0.118421055,0.202312142,0.588235319,0.065217391,0.086956523,0.238410592,0.281767964,0.10204082,0.169811323,0.096551724,0.163742691,0.183544308,0.22023809,0.169491529,0.110344827,0.177777782,0.122448981,0.093525179,0.083969466,0.085714288,0.128378376,0.24844721,0.181818187,0.183544308,0.125,0.127167627,0.159509197,0.111111112,0.166666672,0.486301363,0.178343952,0.22794117,0.121621624,0.122448981,0.168674693,0.127516776,0.18238993,0.074074075,0.075187966,0.126506031,0.129032254,0.093525179,0.060150377,0.294797689,0.154696137,0.193749994,0.16853933,0.151898727,0.229946524,0.161073819,0.064285718,0.173913047,0.155555561,0.244444445,0.290322572,0.459119499,0.165680468,0.092198581,0.050000001,0.141025648,0.320197046,0.5,0.122448981,0.037878789,0.394444436,0.117241383,0.132450327,0.163636357,0.150000006,0.137254909,0.253246754,0.169696972,0.171428576,0.166666672,0.158620685,0.208556145,0.161490679,0.082706764
Hirsutrin,0.391666681,0.201754391,0.452173918,0.045454547,0.231182799,1,0.784313738,0.115044251,0.67289722,0.127450988,0.093457945,0.185840711,0.125,0.181818187,0.626168251,0.464285702,0.169811323,0.349999994,0.104000002,0.79207921,0.933962286,0.349056602,0.257352948,0.222222224,0.216374263,0.673267305,0.79207921,0.401869148,0.564814806,0.22807017,0.377192974,0.363636374,0.193548381,0.296296299,0.173076928,0.588785052,0.626168251,0.09259259,0.196261689,0.400000006,0.30674848,0.766990304,0.193548381,0.181818187,0.69607842,0.456310689,0.418803424,0.248275861,0.200000003,1,0.372727275,0.465346545,0.556603789,0.490196079,0.288288295,0.34074074,0.220338985,0.090909094,0.171428576,0.118881121,0.366666675,0.184210524,0.432432443,0.168141589,0.702970326,0.509433985,0.547826111,0.747572839,0.313725501,0.269230783,0.314285725,0.225490198,0.045454547,0.146788985,0.176470593,0.70588237,0.587719321,0.509433985,0.285714298,0.25373134,0.349999994,0.30392158,0.409523815,0.225806445,0.338983059,0.25,0.336538464,0.352941185,0.560747683,0.355769217,0.387931049,0.123809524,0.115384616,0.333333343,0.345454544,0.146788985,0.085714288,0.152046785,0.491803288,0.464285702,0.79207921,0.396396399,0.990196049,0.226890758,0.089285716,0.472727269,0.483606547,0.304635763,0.30674848,0.227544904,0.588785052,0.144144148,0.090909094,0.217741936,0.338888884,0.232142851,0.339805812,0.057692308,0.251396656,0.310679615,0.371428579,0.556603789,0.252336442,0.235294119,0.1369863,0.551401854,0.762376249,0.326086968,0.226086959,0.401408464,0.355932206,0.125
Isorhamnetin,0.427184463,0.193877548,0.53125,0.055555556,0.167597771,0.784313738,1,0.127659574,0.514285743,0.079545453,0.102272727,0.175257728,0.114942528,0.134020612,0.466666669,0.425742567,0.130434781,0.183333337,0.113207549,0.987654328,0.728971958,0.447058827,0.268907577,0.182692304,0.174999997,0.839506149,0.987654328,0.413043469,0.602150559,0.212121218,0.473118275,0.444444448,0.207547173,0.348314613,0.172413796,0.724137902,0.466666669,0.101123594,0.200000003,0.430894315,0.286666662,0.741935492,0.207547173,0.134020612,0.888888896,0.566265047,0.364485979,0.267716527,0.239999995,0.784313738,0.455555558,0.580246925,0.686046541,0.609756112,0.336956531,0.376068383,0.187878788,0.0989011,0.170454547,0.111111112,0.31205675,0.161616161,0.463157892,0.142857149,0.876543224,0.538461566,0.423423409,0.927710831,0.390243888,0.098039217,0.388235301,0.280487806,0.055555556,0.129032254,0.200000003,0.540000021,0.694736838,0.538461566,0.352941185,0.275862068,0.183333337,0.378048778,0.422222227,0.172413796,0.18965517,0.111111112,0.416666657,0.456790119,0.689655185,0.40697673,0.226086959,0.152941182,0.116279073,0.372549027,0.422222227,0.129032254,0.105882354,0.141935483,0.514018714,0.425742567,0.987654328,0.5,0.79411763,0.25999999,0.096774191,0.49473685,0.504672885,0.282608688,0.286666662,0.178343952,0.724137902,0.126315787,0.0989011,0.169642851,0.292397648,0.176100627,0.439024389,0.071428575,0.221556887,0.385542154,0.458823532,0.686046541,0.1875,0.257425755,0.131782949,0.678160906,0.950617313,0.34710744,0.24742268,0.387596905,0.186440676,0.114942528
Vitamin A,0.109756097,0.524999976,0.197368428,0.14705883,0.08510638,0.115044251,0.127659574,1,0.157303378,0.258064508,0.639999986,0.567567587,0.24242425,0.227272734,0.101123594,0.157894731,0.170731708,0.246376812,0.127272725,0.129032254,0.112068966,0.175438598,0.1875,0.456521749,0.100000001,0.148148149,0.129032254,0.174603179,0.177215189,0.488372087,0.079999998,0.174603179,0.05882353,0.230769232,0.393939406,0.174999997,0.101123594,0.680000007,0.405405402,0.16504854,0.161016956,0.139784947,0.05882353,0.227272734,0.141176477,0.193548381,0.184210524,0.082474224,0.096774191,0.115044251,0.171875,0.161290318,0.155844152,0.151515156,0.218181819,0.15384616,0.09375,0.692307711,0.382352948,0.119999997,0.162162155,0.552631557,0.106666669,0.43589744,0.142857149,0.119999997,0.096774191,0.155555561,0.094339624,0.166666672,0.192307696,0.113636367,0.14705883,0.633333325,0.06666667,0.139534891,0.193181813,0.119999997,0.20408164,0.135802463,0.246376812,0.096153848,0.180327863,0.096153848,0.366666675,0.142857149,0.086206898,0.087719299,0.181818187,0.140350878,0.328125,0.3125,0.212121218,0.292307705,0.241379306,0.633333325,0.151515156,0.07079646,0.218390808,0.157894731,0.129032254,0.161764711,0.114035085,0.09375,0.839999974,0.211267605,0.235294119,0.198019803,0.161016956,0.093220338,0.174999997,0.699999988,0.692307711,0.388888896,0.130136982,0.12931034,0.087719299,0.360000014,0.096296296,0.09259259,0.114754096,0.155844152,0.288888901,0.109375,0.184210524,0.15384616,0.13333334,0.091836736,0.160714284,0.138888896,0.25373134,0.24242425
Licuroside,0.439999998,0.280898869,0.53191489,0.057471264,0.24848485,0.67289722,0.514285743,0.157303378,1,0.164556965,0.105882354,0.233333334,0.146341458,0.229885057,0.715909064,0.46875,0.174418598,0.349514574,0.127450988,0.519230783,0.654545426,0.37931034,0.309734523,0.276595742,0.217105269,0.586956501,0.519230783,0.530120492,0.569892466,0.285714298,0.367346942,0.459770113,0.237623766,0.376470596,0.192771077,0.53125,0.715909064,0.130952388,0.235294119,0.406504065,0.292517006,0.673684239,0.237623766,0.229885057,0.5625,0.587499976,0.489583343,0.295081973,0.209999993,0.67289722,0.471264362,0.602564096,0.543478251,0.632911384,0.348314613,0.410714298,0.229299366,0.127906978,0.190476194,0.122950822,0.400000006,0.230769232,0.431578934,0.211111113,0.568421066,0.556818187,0.565656543,0.524271846,0.290697664,0.362500012,0.337209314,0.228915662,0.057471264,0.214285716,0.206185564,0.93589741,0.579999983,0.556818187,0.3493976,0.294642866,0.349514574,0.279069781,0.543209851,0.255639106,0.467391312,0.314606756,0.303370774,0.402439028,0.54838711,0.421686739,0.4375,0.144578308,0.134146348,0.412371129,0.404494375,0.228915662,0.083333336,0.122580647,0.445454538,0.46875,0.519230783,0.450549453,0.666666687,0.268041223,0.125,0.544444442,0.436363637,0.288888901,0.292517006,0.238095239,0.53125,0.195402294,0.127906978,0.292929292,0.345679015,0.260273963,0.321839094,0.074074075,0.272151887,0.333333343,0.423529416,0.543478251,0.290697664,0.25252524,0.143999994,0.554347813,0.534653485,0.322314054,0.268817216,0.44262296,0.356435657,0.146341458
Myoinositol,0.09589041,0.315789461,0.09589041,0.166666672,0.100775197,0.127450988,0.079545453,0.258064508,0.164556965,1,0.200000003,0.342857152,0.428571433,0.482758611,0.175675675,0.166666672,0.479999989,0.209677413,0.108695649,0.080459774,0.123809524,0.119999997,0.090909094,0.272727281,0.120370373,0.093333334,0.080459774,0.211538464,0.154929578,0.292682916,0.07692308,0.125,0.05172414,0.204545453,0.346153855,0.077922076,0.175675675,0.192307696,0.28125,0.07920792,0.105263159,0.158536583,0.05172414,0.433333337,0.088607594,0.105263159,0.215384617,0.06818182,0.096153848,0.127450988,0.122807018,0.109090909,0.083333336,0.101694912,0.191489369,0.080459774,0.084033616,0.178571433,0.333333343,0.073529415,0.134615391,0.333333343,0.142857149,0.363636374,0.089743592,0.17741935,0.166666672,0.08139535,0.119047619,0.40625,0.13333334,0.151515156,0.166666672,0.407407403,0.081632651,0.175675675,0.093023255,0.17741935,0.142857149,0.079999998,0.209677413,0.121951222,0.219999999,0.144444451,0.224137932,0.324999988,0.106382981,0.108695649,0.081081077,0.125,0.233333334,0.239999995,0.380952388,0.106060609,0.129629627,0.407407403,0.227272734,0.078431375,0.104651161,0.166666672,0.080459774,0.114754096,0.126213595,0.113207549,0.166666672,0.171875,0.105882354,0.111111112,0.105263159,0.123809524,0.077922076,0.428571433,0.178571433,0.254901975,0.100000001,0.121495329,0.108695649,0.210526317,0.104838707,0.116279073,0.117647059,0.083333336,0.342857152,0.132075474,0.112676054,0.08219178,0.083333336,0.06666667,0.173913047,0.119999997,0.216666669,0.428571433
