source,target
C00001906,GNAI1
C00001906,NR3C1
C00001906,GAPDH
C00001906,MAPK1
C00001906,TLE1
C00001906,JUP
C00001906,TLE4
C00001906,TLE2
C00001906,CTBP1
C00003675,LCK
C00003675,NRP1
C00003675,GLP1R
C00003675,GNAS
C00003675,ATF6
C00003675,NR3C1
C00003675,PADI4
C00003675,FLT1
C00003675,TNF
C00003675,MAPK14
C00003675,PRKCA
C00003675,EPAS1
C00003675,EGFR
C00003675,CCR5
C00003675,RAPGEF3
C00003675,ADRA2A
C00003675,MAOA
C00003675,FYN
C00003675,CALCR
C00003675,OXTR
C00003675,PRKACB
C00003675,MMP9
C00003675,PPARA
C00003675,IL1B
C00003675,AVPR1A
C00003675,PABPC1
C00003675,NCOA2
C00003675,BDKRB2
C00003675,GNAI1
C00003675,RAPGEF4
C00003675,SENP6
C00003675,TP53
C00003675,MAPK1
C00003675,NCOA1
C00003675,NFKB1
C00003675,JUN
C00003675,AKT1
C00003675,KCNJ8
C00003675,AGT
C00003675,PRMT6
C00010040,PTPN1
C00010040,JUP
C00010040,CTBP1
C00010040,TLE1
C00010040,TLE4
C00010040,TLE2
C00001432,GNAI1
C00001432,APP
C00001432,TRPM4
C00001432,GLP1R
C00001432,GCKR
C00001432,CXCR4
C00001432,GAPDH
C00001432,MAPK1
C00001432,MTOR
C00001432,NFKB1
C00001432,MAOB
C00001432,GCK
C00001432,NR3C1
C00001432,MAOA
C00001432,AGT
C00001432,ATP6AP2
C00001432,TFPI
C00001432,REN
C00001432,ACE2
C00019679,GNAI1
C00019679,GAPDH
C00019679,MAPK1
C00019679,IFI6
C00019679,DNMT3A
C00019679,TRIM28
C00019679,SLC40A1
C00019679,GPAM
C00005373,GNAI1
C00005373,CTNNB1
C00005373,PTPN22
C00005373,SENP6
C00005373,UBE2I
C00005373,JAK2
C00005373,GAPDH
C00005373,ALPL
C00005373,MAPK1
C00005373,MYC
C00005373,GPR35
C00005373,MAP3K3
C00005373,NCOA1
C00005373,PTPN1
C00005373,NFKB1
C00005373,EIF2AK3
C00005373,PABPC1
C00005373,PPARG
C00005373,UBA2
C00005373,STAT3
C00005373,SOD2
C00005373,CAT
C00005373,SIRT1
C00005373,EPAS1
C00005373,IL2RG
C00004635,GAPDH
C00004635,GCG
C00004635,FOXO3
C00004635,SIRT1
C00004635,MCHR1
C00004635,HCRT
C00031437,NRP1
C00031437,GLP1R
C00031437,GNAS
C00031437,ATF6
C00031437,MAOB
C00031437,PADI4
C00031437,TNF
C00031437,EPAS1
C00031437,RAPGEF3
C00031437,MAOA
C00031437,OXTR
C00031437,PRKACB
C00031437,GAPDH
C00031437,PPARA
C00031437,IL1B
C00031437,AVPR1A
C00031437,PABPC1
C00031437,NCOA2
C00031437,GNAI1
C00031437,RAPGEF4
C00031437,SENP6
C00031437,TP53
C00031437,MTOR
C00031437,MAPK1
C00031437,MAP3K3
C00031437,NCOA1
C00031437,NFKB1
C00031437,HDAC3
C00031437,JUN
C00031437,AKT1
C00031437,AGT
C00031437,TFPI
C00031437,REN
C00031437,ACE2
C00031437,BDKRB2
C00007186,PTPN1
C00007186,SOD2
C00007186,CAT
C00007186,SIRT1
C00007186,EPAS1
C00007186,IL2RG
C00001164,NRP1
C00001164,GLP1R
C00001164,GNAS
C00001164,ATF6
C00001164,PADI4
C00001164,EPAS1
C00001164,RAPGEF3
C00001164,OXTR
C00001164,PRKACB
C00001164,GAPDH
C00001164,IL1B
C00001164,AVPR1A
C00001164,PABPC1
C00001164,NCOA2
C00001164,GNAI1
C00001164,RAPGEF4
C00001164,SENP6
C00001164,TP53
C00001164,NCOA1
C00001164,HDAC3
C00001164,JUN
C00001164,AKT1
C00001164,TFPI
C00001164,REN
C00001164,ACE2
C00001164,BDKRB2
C00001164,ATP6AP2
C00000911,GNAI1
C00000911,GLP1R
C00000911,TP53
C00000911,AGT
C00000911,PRMT6
C00000911,HMGA2
C00000911,CEL
C00000911,LIPF
C00047082,RAPGEF4
C00047082,OXTR
C00047082,SENP6
C00047082,TP53
C00047082,PRKACB
C00047082,NCOA2
C00047082,EPAS1
C00047082,NRP1
C00047082,GLP1R
C00047082,GNAS
C00047082,ATF6
C00047082,RAPGEF3
C00047082,NCOA1
C00047082,IL1B
C00047082,AVPR1A
C00047082,PABPC1
C00047082,HDAC3
C00047082,JUN
C00047082,AKT1
C00047082,PADI4
C00047082,TFPI
C00047082,REN
C00047082,ACE2
C00047082,BDKRB2
C00047082,ATP6AP2
C00001238,GNAI1
C00001238,TP53
C00001238,TNF
C00001238,GLP1R
C00001238,MAPK1
C00001238,PPARA
C00001238,ATF6
C00001238,NFKB1
C00001238,PPARG
C00001238,JUN
C00001238,MEF2A
C00001238,MEF2C
C00001238,MEF2D
C00001238,SUFU
C00001238,SLC1A1
C00034185,RAPGEF4
C00034185,PRKACB
C00034185,EPAS1
C00034185,NRP1
C00034185,GLP1R
C00034185,MTOR
C00034185,GNAS
C00034185,IL1B
C00034185,RAPGEF3
C00034185,NCOA1
C00034185,PABPC1
C00034185,NCOA2
C00034185,ATP6AP2
C00034185,PRMT6
C00034185,HMGA2
C00034185,CEL
C00034185,LIPF
C00000983,APP
C00000983,JAK2
C00000983,NRP1
C00000983,GLP1R
C00000983,GNAS
C00000983,UBA2
C00000983,PADI4
C00000983,CTNNB1
C00000983,PTPN22
C00000983,EPAS1
C00000983,UBE2I
C00000983,PTPN1
C00000983,RAPGEF3
C00000983,STAT1
C00000983,EIF2AK3
C00000983,OXTR
