Senyawa1,Senyawa2,AS
Spermine,Sweroside,0.32901966454598025
Ferruginol,Spermine,0.3220135128029864
Sweroside,Ferruginol,0.3146540959040959
Spermine,Vindoline,0.3069496293180503
Sweroside,Tetrahydroalstonine,0.29791042291042297
Tetrahydroalstonine,Ferruginol,0.29483016983016985
Tetrahydroalstonine,Spermine,0.2939078465394255
Quercetin,Ferruginol,0.2769697407855302
Oxalic acid,Ferruginol,0.2765429015429015
Sweroside,Vindoline,0.2746628371628372
Vindoline,Quercetin,0.2674792312950207
Licuroside,Ferruginol,0.26475607725607725
Ferruginol,Vindoline,0.26117632367632365
Vindoline,4-Terpineol,0.26079277864992145
Vindoline,(+)-S-Carvone,0.26079277864992145
alpha-Terpinene,Vindoline,0.26079277864992145
Licuroside,Spermine,0.25870620607462724
Sweroside,Quercetin,0.25865253167884733
Octadecanoic acid,Sweroside,0.2578504828504828
Vindoline,Oxalic acid,0.2577838827838828
Licuroside,Sweroside,0.2570138195138195
N6-(delta2-Isopentenyl)adenine,Ferruginol,0.2569097569097569
Sweroside,4-Terpineol,0.2541922363350935
alpha-Terpinene,Sweroside,0.2541922363350935
(+)-S-Carvone,Sweroside,0.2541922363350935
Ferruginol,Fisetin,0.2533404095904096
Spermine,Oxalic acid,0.25264793685846315
Vindoline,3' 5'-cyclic AMP,0.2522165334665335
Sweroside,3' 5'-cyclic AMP,0.2517014235764236
Ferruginol,(+)-S-Carvone,0.24992864278578567
Ferruginol,alpha-Terpinene,0.24992864278578567
Ferruginol,4-Terpineol,0.24992864278578567
Ferruginol,3' 5'-cyclic AMP,0.2496722027972028
Sweroside,6-Hydroxymellein,0.24912587412587414
Vindoline,Octadecanoic acid,0.2474109224109224
Quercetin,Tetrahydroalstonine,0.2465823650034176
Ferruginol,Octadecanoic acid,0.24488844488844483
Vindoline,6-Hydroxymellein,0.24354811854811856
Ferruginol,Methyl rosmarinate,0.240488677988678
Sweroside,L-Phenylalanine,0.24043264427879818
Oxalic acid,Sweroside,0.24032911532911527
Spermine,Quercetin,0.23647681957931257
Tetrahydroalstonine,Oxalic acid,0.23585673585673592
Octadecanoic acid,Tetrahydroalstonine,0.23507603507603503
Fisetin,Sweroside,0.23495254745254746
N6-(delta2-Isopentenyl)adenine,Vindoline,0.233003108003108
Sweroside,Lycopene,0.2322833416583417
Fisetin,Vindoline,0.231934731934732
Spermine,L-Phenylalanine,0.23116964007652263
Punicalin,Ferruginol,0.23080825424575424
Vindoline,Lycopene,0.2298951048951049
Ferruginol,Hirsutrin,0.22923076923076927
6-Hydroxymellein,Ferruginol,0.2287712287712288
L-Phenylalanine,Ferruginol,0.2279259202336125
4-Terpineol,Spermine,0.22773467134369393
Spermine,alpha-Terpinene,0.22773467134369393
(+)-S-Carvone,Spermine,0.22773467134369393
Hirsutrin,Sweroside,0.2274375624375625
Ferruginol,Sanguinarine,0.22612506541077973
Sweroside,Sanguinarine,0.2249238856381713
Punicalin,Sweroside,0.22376061438561443
Spermine,N6-(delta2-Isopentenyl)adenine,0.2237470132206974
Sweroside,alpha-Pinene,0.22353607930531008
Sweroside,Gallic acid,0.223385989010989
N6-(delta2-Isopentenyl)adenine,Sweroside,0.22265234765234762
Vindoline,L-Phenylalanine,0.22254668408514564
Ferruginol,Serotonin,0.22192513368983957
3' 5'-cyclic AMP,Tetrahydroalstonine,0.22183025308025314
Ferruginol,Lycopene,0.2214972527472528
Vindoline,alpha-Pinene,0.2214708368554522
Tetrahydroalstonine,(+)-S-Carvone,0.22025593454164888
alpha-Terpinene,Tetrahydroalstonine,0.22025593454164888
4-Terpineol,Tetrahydroalstonine,0.22025593454164888
N6-(delta2-Isopentenyl)adenine,Tetrahydroalstonine,0.2202242202242202
6-Hydroxymellein,Spermine,0.22015703594650968
Ferruginol,Guanosine,0.21971778221778226
6-Hydroxymellein,Tetrahydroalstonine,0.21953046953046954
Vindoline,Serotonin,0.21670976082740792
Ferruginol,alpha-Pinene,0.2164758318604472
Spermine,Octadecanoic acid,0.21557389978442604
Isoliquiritin,Spermine,0.2144785039521882
Spermine,Hirsutrin,0.21432041642567967
Quercetin,Licuroside,0.21423313528576687
Ferruginol,Ellagic acid,0.21393356643356642
Vindoline,Sanguinarine,0.21284073069787351
Ferruginol,Adenosine,0.21275293334116868
Sweroside,Ellagic acid,0.2123051948051947
Tetrahydroalstonine,Sanguinarine,0.21216878359735503
Tetrahydroalstonine,L-Phenylalanine,0.21204436589051978
alpha-Pinene,Spermine,0.2116628310960295
Sanguinarine,Spermine,0.21162296350266263
Vindoline,Punicalin,0.21155407092907086
Licuroside,3' 5'-cyclic AMP,0.20981102231102233
Ferruginol,Isoliquiritin,0.20947802197802198
Spermine,Gallic acid,0.2083672906041327
Sweroside,Adenosine,0.2080444065738183
Methyl rosmarinate,Vindoline,0.20783383283383283
Spermine,3' 5'-cyclic AMP,0.20614254166885745
Chelerythrine,Ferruginol,0.2051262690797574
Serotonin,Tetrahydroalstonine,0.20421735127617482
Sweroside,Isoliquiritin,0.2039835164835165
Tetrahydroalstonine,alpha-Pinene,0.20377058838597306
Lycopene,Tetrahydroalstonine,0.20358807858807862
Spermine,Vincristine,0.20346180135653816
Spermine,Fisetin,0.2027183342972817
Vincristine,Sweroside,0.20245754245754238
Ferruginol,Vincristine,0.20234265734265736
Tetrahydroalstonine,Vindoline,0.20183982683982685
