Senyawa1,Senyawa2,Synergy Score
Ferruginol,6-Hydroxymellein,0.194560355
Sweroside,Vindoline,0.190362702
L-Phenylalanine,Ferruginol,0.177703472
Sanguinarine,Spermine,0.170204329
Quercetin,Spermine,0.168360169
Ferruginol,Sweroside,0.161742668
Octadecanoic acid,Ferruginol,0.150764506
3' 5'-cyclic AMP,Spermine,0.149391598
Ferruginol,Vindoline,0.142008841
Coumarin,Ferruginol,0.140892918
Vindoline,Sanguinarine,0.140484341
Oxalic acid,Sweroside,0.139459864
Serotonin,Spermine,0.136769622
Ferruginol,Ellagic acid,0.13606982
Chelerythrine,Spermine,0.135937324
alpha-Pinene,Ferruginol,0.134394246
Spermine,Spermidine,0.131509656
Spermine,Adenosine,0.131010343
Tetrahydroalstonine,Vindoline,0.126773184
Octadecanoic acid,Gallic acid,0.123986663
Chelerythrine,Quercetin,0.122505157
Octadecanoic acid,alpha-Pinene,0.122311215
N6-(delta2-Isopentenyl)adenine,Spermine,0.121871811
Spermine,Caffeic acid,0.121661203
Sanguinarine,Quercetin,0.121382253
L-Phenylalanine,Gallic acid,0.121154046
Sanguinarine,Sweroside,0.120312926
6-Hydroxymellein,L-Phenylalanine,0.118994055
3' 5'-cyclic AMP,Quercetin,0.118481336
alpha-Pinene,Gallic acid,0.118441532
Hirsutrin,Sweroside,0.118301689
Ferruginol,Gallic acid,0.117944775
4-Terpineol,alpha-Terpinene,0.117719016
alpha-Terpinene,(+)-S-Carvone,0.117719016
4-Terpineol,(+)-S-Carvone,0.117719016
3' 5'-cyclic AMP,Sanguinarine,0.117098884
L-Phenylalanine,N6-(delta2-Isopentenyl)adenine,0.11652076
Vindoline,Hirsutrin,0.116345425
Spermine,L-Phenylalanine,0.115941939
Oestrone,Spermine,0.115804202
Spermine,Tryptamine,0.114691762
Hirsutrin,Licuroside,0.11366464
Spermine,Guanosine,0.113536872
Chelerythrine,Vindoline,0.113500014
Spermine,Berberine,0.113171606
Spermine,Fisetin,0.112573147
Octadecanoic acid,L-Phenylalanine,0.112226968
Lycopene,Octadecanoic acid,0.112076207
alpha-Pinene,L-Phenylalanine,0.110875283
4-Terpineol,Oxalic acid,0.110404554
(+)-S-Carvone,Oxalic acid,0.110404554
Oxalic acid,alpha-Terpinene,0.110404554
Tetrahydroalstonine,Sanguinarine,0.109235241
Ferruginol,Peucedanin,0.108974839
Spermine,Gallic acid,0.108781861
Ellagic acid,Spermine,0.10764985
Ellagic acid,Quercetin,0.106696654
Ellagic acid,L-Phenylalanine,0.106028185
Sweroside,Kaempferol 3-glucuronide,0.105743512
Vincristine,Quercetin,0.10547726
Riboflavin,Ferruginol,0.104044964
Adenosine,Quercetin,0.103797144
Octadecanoic acid,Ellagic acid,0.103582597
"1,3,7-Trihydroxyxanthone",Spermine,0.103320123
Octadecanoic acid,Quercetin,0.102829972
Labiatenic acid,Punicalin,0.102318409
Adenosine,Caffeic acid,0.101861905
Ellagic acid,Coumarin,0.10151846
L-Phenylalanine,Lycopene,0.101255703
Adenosine,Ellagic acid,0.101040834
Benzoic acid,Testosterone,0.100235667
Caffeic acid,Quercetin,0.099507728
Chelerythrine,Sanguinarine,0.099478923
Lycopene,3' 5'-cyclic AMP,0.098626084
Oestrone,Quercetin,0.098616676
Ferruginol,Sanguinarine,0.098605479
Caffeic acid,Sweroside,0.098575207
Lycopene,Quercetin,0.098512523
Isoprene,Ferruginol,0.098352426
3' 5'-cyclic AMP,Adenosine,0.097803398
Ferruginol,Vanillin,0.097785199
Myricetin,Spermine,0.097437489
Spermine,Vincristine,0.097353656
Rutin,Sweroside,0.096857429
Sanguinarine,Lycopene,0.096854166
Sweroside,Coumarin,0.096696299
Coumarin,Spermine,0.096693441
Ajmalicine,Spermine,0.096499674
Caffeic acid,Salicylic acid,0.096249218
Lycopene,alpha-Pinene,0.096148637
Spermine,Loganic acid,0.095748582
Hirsutrin,Ferruginol,0.095591958
Hirsutrin,Punicalin,0.095504253
Coumarin,Salicylic acid,0.095393654
Salicylic acid,Adenosine,0.095074678
Oestrone,Salicylic acid,0.095057926
Quercetin,Coumarin,0.094991144
Gallic acid,Lycopene,0.094907383
Coumarin,Octadecanoic acid,0.094846017
Tryptamine,Adenosine,0.094808181
Salicylic acid,Benzoic acid,0.094350641
Ferruginol,Benzoic acid,0.094229986
Sweroside,Peucedanin,0.094128519
Apigenin,Spermine,0.094005664
Fisetin,N6-(delta2-Isopentenyl)adenine,0.093793575
L-Phenylalanine,Coumarin,0.093730926
Quercetin,Salicylic acid,0.09369665
Vindoline,Kaempferol 3-glucuronide,0.093540203
6-Hydroxymellein,Coumarin,0.0935003
Spermine,9-Ribosyl-trans-zeatin,0.093367402
Gallic acid,Quercetin,0.093270849
Adenosine,Oestrone,0.093095592
Ellagic acid,6-Hydroxymellein,0.093087566
Ellagic acid,Gallic acid,0.092871734
Coumarin,Peucedanin,0.092830297
