Senyawa1,Senyawa2,Topology Score
Glisoflavone,Isobavachalcone,1.0
(+)-S-Carvone,4-Terpineol,1.0
Uracil,Pregnenolone,1.0
9-Ribosyl-trans-zeatin,Isorhamnetin 3-O-beta-D-glucopyranoside,1.0
Vincamine,Uracil,1.0
(+)-S-Carvone,alpha-Terpinene,1.0
Semilicoisoflavone B,Mitraphylline,1.0
Vincamine,Pregnenolone,1.0
Glisoflavone,Glycyrrhisoflavone,1.0
alpha-Terpinene,4-Terpineol,1.0
Glycyrrhisoflavone,Isobavachalcone,1.0
(R)-linalool,Gibberellin A3,0.990376294748
Myoinositol,Uracil,0.981509736889
Myoinositol,Vincamine,0.981509736889
Pregnenolone,Myoinositol,0.981509736889
Vanillic acid,"Methyl 3,4,5-trihydroxybenzoate",0.963347940435
Gibberellin A3,Fumaric acid,0.959614646578
2'-Hydroxygenistein,Tanshinone II,0.959575131362
(R)-linalool,Vitamin A,0.959127798526
Semilicoisoflavone B,Isoglycyrol,0.958565571751
Isoglycyrol,Mitraphylline,0.958565571751
(R)-linalool,Fumaric acid,0.950446375685
Tanshinone II,Vanillic acid,0.949229493897
Gibberellin A3,Vitamin A,0.949181985153
Loganin,Loganic acid,0.948483560614
Licuroside,Isoschaftoside,0.946671920406
Palmitic acid,Sucrose,0.946411693379
Glycyrrhetinic acid,Tanshinone II,0.945056039201
Vanillic acid,2'-Hydroxygenistein,0.944481259906
Mitraphylline,p-Coumaric acid,0.942070132297
Semilicoisoflavone B,p-Coumaric acid,0.942070132297
Adenosine,Tryptamine,0.94135056196
Glycyrrhetinic acid,2'-Hydroxygenistein,0.940439915908
Isoferulic acid,Trigonelline,0.937174671052
Testosterone,Benzoic acid,0.936947310573
2'-Hydroxygenistein,Cryptotanshinone,0.93606718393
Isoglycyrol,Glycyrol,0.935116860177
Myoinositol,Thiamine,0.933092877802
Glycyrol,Mitraphylline,0.932610374415
Semilicoisoflavone B,Glycyrol,0.932610374415
Semilicoisoflavone B,Uracil,0.932504845436
Vincamine,Semilicoisoflavone B,0.932504845436
Mitraphylline,Uracil,0.932504845436
Vincamine,Mitraphylline,0.932504845436
Mitraphylline,Pregnenolone,0.932504845436
Semilicoisoflavone B,Pregnenolone,0.932504845436
Semilicoisoflavone B,trans-Zeatin,0.932438129994
trans-Zeatin,Mitraphylline,0.932438129994
Tanshinone II,Cryptotanshinone,0.931392738835
