source,target
AVP,AQP2
AVP,AGT
CLCNKA,AQP2
AVPR2,AQP2
RENBP,HCFC1
AGT,AVPR2
TMEM187,AVPR2
RENBP,TMEM187
RENBP,TKTL1
ARHGAP4,AVPR2
AVP,AVPR2
AGT,AQP2
AVPR2,HCFC1
GPRASP1,AVPR2
RENBP,AVPR2
ARHGAP4,TMEM187
TKTL1,AVPR2
TMEM187,HCFC1
RENBP,ARHGAP4
AVPR2,CLCNKA
CTLA4,TGFB1
FOXP3,CTLA4
GATA3,CD8A
CD8A,CD4
DDX41,FOXP3
STAT5A,TGFB1
NFATC2,CD8A
STAT5A,CD4
FOXP3,IL2
CTLA4,IL2
NFATC2,STAT5A
TNF,NFATC2
FOXP3,STAT5A
NFATC2,IL2
TNF,FOXP3
CTLA4,CD4
DDX41,STAT5A
DDX41,CD8A
DDX41,TNF
NFATC2,FOXP3
TNF,TGFB1
STAT5A,CTLA4
GATA3,CTLA4
TNF,GATA3
IL2,CD4
GATA3,IL2
GATA3,TGFB1
FOXP3,CD8A
STAT5A,IL2
TNF,CD4
TNF,CD8A
NFATC2,CTLA4
STAT5A,CD8A
FOXP3,TGFB1
FOXP3,CD4
CD8A,TGFB1
IL2,TGFB1
DDX41,IL2
DDX41,NFATC2
GATA3,FOXP3
GATA3,STAT5A
TNF,IL2
NFATC2,GATA3
DDX41,GATA3
GATA3,CD4
DDX41,CTLA4
DDX41,TGFB1
DDX41,CD4
TNF,STAT5A
CTLA4,CD8A
TNF,CTLA4
CD8A,IL2
TGFB1,CD4
PPARGC1A,NR0B2
CREBBP,HNF1A
FOXO1,PPARGC1A
CREBBP,APOA1
HNF4A,PPARGC1A
CTNNB1,HNF1A
FOXO1,HNF4A
HNF4A,CREBBP
SMAD4,HNF1A
CTNNB1,SMAD3
HNF4A,APOA1
HNF4A,MED1
HNF4A,NR0B2
SMAD4,HNF4A
FOXO1,CREBBP
MED1,PPARGC1A
FOXO1,SMAD3
SMAD4,CREBBP
SMAD3,CREBBP
MED1,CREBBP
CTNNB1,SMAD4
PPARGC1A,CREBBP
MED1,APOA1
FOXO1,NR0B2
FOXO1,CTNNB1
CTNNB1,CREBBP
CTNNB1,HNF4A
HNF4A,HNF1A
SMAD4,SMAD3
CTNNB1,MED1
MED1,NR0B2
FOXO1,SMAD4
SMAD3,HNF4A
PPARGC1A,APOA1
AVP,OXTR
NPS,AVPR1A
EDN1,OXTR
CRH,AQP2
AVP,TRH
EDN1,TRH
OXTR,AVPR1A
AVP,CRH
NPS,CRH
EDN1,PTH
TRH,PTH
NPS,KNG1
AVPR1A,AQP2
AVPR1A,POMC
NPS,EDN1
